TR	statistic	pvalue	zscore	max_auc	re_rank	irwin_hall_pvalue
ZBTB16	0.278	3.906e-01	0.413	0.414	0.434	3.531e-01
MYF5	0.267	3.947e-01	0.469	0.412	0.434	3.539e-01
MECOM	0.180	4.287e-01	1.001	0.408	0.436	3.577e-01
VDR	-0.117	5.468e-01	-0.576	0.440	0.436	3.585e-01
SMARCA5	-0.360	6.407e-01	-0.363	0.451	0.437	3.600e-01
RARA	-0.745	7.718e-01	-2.078	0.513	0.437	3.615e-01
HDAC4	0.299	3.824e-01	0.243	0.414	0.438	3.623e-01
CBX6	0.337	3.679e-01	-0.107	0.416	0.438	3.623e-01
SMARCA4	-0.877	8.099e-01	-2.640	0.546	0.439	3.646e-01
PMEL	0.028	4.888e-01	-1.735	0.444	0.439	3.646e-01
ZNF366	0.192	4.240e-01	0.818	0.406	0.440	3.662e-01
TFAP4	-0.356	6.390e-01	-0.322	0.446	0.441	3.693e-01
CAMTA2	0.175	4.304e-01	0.747	0.407	0.442	3.716e-01
CLOCK	0.059	4.765e-01	1.867	0.400	0.443	3.739e-01
ETS2	0.175	4.304e-01	-1.449	0.432	0.443	3.739e-01
RELB	0.061	4.756e-01	1.002	0.410	0.444	3.747e-01
AEBP2	0.247	4.026e-01	0.330	0.410	0.444	3.747e-01
TFAP2A	-0.126	5.502e-01	1.255	0.419	0.444	3.755e-01
IRF1	-0.169	5.671e-01	-0.800	0.440	0.447	3.817e-01
BRD9	0.032	4.874e-01	0.331	0.420	0.447	3.825e-01
ZNF445	0.022	4.912e-01	2.002	0.399	0.447	3.825e-01
MBD3	0.115	4.542e-01	-0.037	0.420	0.448	3.848e-01
RELA	-1.065	8.567e-01	-1.105	0.512	0.449	3.856e-01
DPF2	-0.322	6.264e-01	1.320	0.423	0.449	3.864e-01
FOXO3	-0.202	5.801e-01	-1.084	0.443	0.450	3.888e-01
RUNX3	0.130	4.484e-01	0.737	0.405	0.452	3.927e-01
PSIP1	-0.022	5.088e-01	-0.004	0.423	0.453	3.943e-01
SS18	0.040	4.842e-01	-0.437	0.424	0.453	3.951e-01
CREM	-0.258	6.016e-01	-0.508	0.439	0.453	3.958e-01
ZNF2	-0.007	5.027e-01	-0.009	0.422	0.453	3.958e-01
ESRRA	-0.319	6.251e-01	-1.768	0.456	0.453	3.958e-01
GTF2A2	0.170	4.324e-01	0.334	0.407	0.454	3.966e-01
ZNF350	0.284	3.882e-01	-0.527	0.413	0.458	4.053e-01
EPAS1	0.087	4.653e-01	0.832	0.403	0.459	4.085e-01
GRHL3	-0.444	6.713e-01	0.782	0.429	0.459	4.085e-01
ZNF438	0.097	4.616e-01	0.630	0.403	0.460	4.101e-01
MBOAT4	0.359	3.597e-01	-1.287	0.418	0.460	4.101e-01
ARNT	-0.586	7.209e-01	-2.317	0.475	0.461	4.125e-01
ZSCAN20	0.167	4.337e-01	0.233	0.406	0.461	4.125e-01
KLF4	-0.468	6.801e-01	-0.242	0.441	0.461	4.132e-01
CEBPD	-0.389	6.513e-01	-1.223	0.449	0.461	4.132e-01
TERF2	0.160	4.364e-01	-0.145	0.406	0.466	4.244e-01
CDCA2	-0.040	5.159e-01	1.737	0.394	0.469	4.316e-01
TERF1	0.108	4.568e-01	0.103	0.404	0.473	4.404e-01
ZNF28	-0.012	5.046e-01	1.150	0.396	0.474	4.420e-01
NCAPG	-0.127	5.504e-01	0.593	0.409	0.475	4.436e-01
ZNF134	-0.012	5.049e-01	1.047	0.396	0.477	4.476e-01
CTBP2	0.225	4.110e-01	-1.454	0.414	0.478	4.508e-01
SOX13	-0.093	5.369e-01	0.139	0.410	0.480	4.540e-01
ZNF483	0.286	3.875e-01	-1.571	0.413	0.481	4.573e-01
E2F7	-0.171	5.679e-01	-0.765	0.424	0.481	4.581e-01
GLIS1	-0.442	6.706e-01	-1.093	0.438	0.482	4.605e-01
GATAD2B	0.132	4.474e-01	-0.958	0.408	0.483	4.629e-01
FOXP2	-0.073	5.293e-01	-2.294	0.430	0.484	4.645e-01
IRF9	-0.111	5.441e-01	1.025	0.398	0.485	4.653e-01
CTBP1	-0.077	5.308e-01	0.269	0.405	0.485	4.653e-01
SSRP1	-0.599	7.252e-01	-0.213	0.434	0.485	4.661e-01
ZNF284	-0.170	5.676e-01	2.252	0.387	0.486	4.686e-01
BACH2	-0.118	5.468e-01	-0.331	0.414	0.488	4.726e-01
RBL1	0.002	4.992e-01	0.386	0.397	0.488	4.726e-01
CBX8	-0.418	6.621e-01	-3.394	0.455	0.489	4.742e-01
CTCFL	-0.580	7.192e-01	-1.158	0.441	0.490	4.774e-01
MTA3	-0.116	5.461e-01	-1.279	0.422	0.494	4.863e-01
TEAD2	-0.034	5.136e-01	0.354	0.397	0.495	4.879e-01
PAX5	-0.662	7.461e-01	-0.510	0.435	0.495	4.888e-01
EMX1	-0.274	6.078e-01	-2.350	0.436	0.495	4.896e-01
ZNF674	0.141	4.437e-01	-1.277	0.406	0.496	4.904e-01
ZNF534	-0.032	5.127e-01	0.415	0.395	0.496	4.920e-01
EBF1	-0.274	6.079e-01	0.120	0.413	0.497	4.928e-01
JMJD1C	-0.484	6.857e-01	-0.382	0.427	0.498	4.944e-01
KLF16	-0.180	5.716e-01	0.906	0.396	0.499	4.976e-01
NFE2	-0.607	7.280e-01	-1.853	0.443	0.503	5.057e-01
OVOL3	0.152	4.398e-01	-2.133	0.410	0.503	5.057e-01
MYB	-0.531	7.023e-01	-0.505	0.426	0.504	5.082e-01
PRDM11	-0.243	5.962e-01	-3.460	0.438	0.504	5.082e-01
WRNIP1	0.062	4.751e-01	-0.920	0.401	0.504	5.082e-01
ZNF837	0.007	4.971e-01	-1.081	0.404	0.508	5.171e-01
GATA1	-0.839	7.994e-01	1.494	0.415	0.509	5.195e-01
MLLT3	0.045	4.821e-01	-0.864	0.400	0.509	5.195e-01
HMBOX1	-0.113	5.449e-01	0.782	0.391	0.509	5.211e-01
NFKB2	-0.120	5.480e-01	0.397	0.394	0.512	5.259e-01
ZNF146	-0.238	5.941e-01	-0.726	0.411	0.513	5.292e-01
TERC	-0.448	6.730e-01	1.919	0.392	0.514	5.308e-01
ZNF518A	0.153	4.391e-01	-2.453	0.405	0.515	5.340e-01
JMJD6	-0.450	6.737e-01	-1.532	0.429	0.516	5.356e-01
APOBEC3B	-0.082	5.327e-01	0.112	0.392	0.517	5.389e-01
HEXIM1	-0.175	5.697e-01	-2.693	0.422	0.521	5.461e-01
RCOR1	-0.509	6.947e-01	-1.766	0.431	0.521	5.469e-01
ZNF554	-0.105	5.416e-01	0.123	0.391	0.522	5.501e-01
NR4A1	-0.441	6.703e-01	-0.925	0.418	0.522	5.501e-01
PRMT5	-0.068	5.273e-01	-0.273	0.393	0.523	5.509e-01
PYGO2	-0.199	5.787e-01	0.279	0.394	0.526	5.573e-01
PBX1	-0.107	5.427e-01	-0.286	0.394	0.526	5.590e-01
NOTCH1	-1.202	8.853e-01	-4.680	0.493	0.529	5.654e-01
NFATC3	-0.049	5.197e-01	-0.787	0.394	0.530	5.670e-01
SIRT1	-1.005	8.427e-01	1.112	0.415	0.532	5.710e-01
POLR2M	-0.436	6.687e-01	-4.349	0.438	0.532	5.718e-01
STAT1	-0.674	7.497e-01	-2.392	0.435	0.533	5.742e-01
ZNF695	0.063	4.750e-01	-2.729	0.401	0.535	5.773e-01
ZNF239	-0.080	5.320e-01	-1.346	0.399	0.535	5.773e-01
POU2F2	-0.254	6.001e-01	-1.002	0.403	0.536	5.813e-01
XCL1	0.019	4.925e-01	-2.085	0.398	0.538	5.845e-01
HJURP	-0.029	5.115e-01	-1.448	0.395	0.538	5.853e-01
ERG	-1.382	9.165e-01	-3.886	0.489	0.538	5.861e-01
ZNF701	-0.167	5.664e-01	-0.210	0.388	0.540	5.901e-01
INTS3	-0.025	5.098e-01	-1.614	0.396	0.541	5.917e-01
CCND2	-0.010	5.041e-01	-1.973	0.396	0.542	5.932e-01
TFAP2C	-0.649	7.419e-01	0.337	0.402	0.542	5.948e-01
MEF2C	-0.120	5.478e-01	-0.547	0.390	0.543	5.956e-01
CREB3L4	-0.106	5.421e-01	-0.834	0.391	0.544	5.980e-01
ZBED1	-0.158	5.629e-01	-0.735	0.391	0.547	6.059e-01
E2F2	-0.106	5.423e-01	-0.997	0.391	0.548	6.067e-01
ZNF597	-0.178	5.706e-01	-0.328	0.387	0.548	6.074e-01
MORC2	-0.365	6.426e-01	-3.848	0.426	0.549	6.090e-01
KDM4A	-0.609	7.287e-01	-0.626	0.406	0.551	6.129e-01
MTA2	-0.778	7.818e-01	-0.699	0.416	0.551	6.137e-01
RYBP	-0.473	6.819e-01	-1.040	0.406	0.551	6.137e-01
PPARD	0.047	4.814e-01	-3.546	0.400	0.551	6.145e-01
MBD4	-0.176	5.700e-01	-0.660	0.387	0.554	6.208e-01
ICE1	-0.109	5.436e-01	-1.692	0.394	0.556	6.239e-01
DDX20	-0.604	7.272e-01	-0.633	0.404	0.558	6.278e-01
ZBTB17	-0.494	6.894e-01	-1.858	0.414	0.558	6.278e-01
HES1	-0.457	6.763e-01	-0.979	0.401	0.558	6.278e-01
PBX2	-0.439	6.698e-01	-1.553	0.406	0.558	6.293e-01
ZKSCAN1	-0.691	7.552e-01	-2.683	0.426	0.559	6.316e-01
ZC3H8	-0.569	7.153e-01	-3.756	0.427	0.560	6.332e-01
KDM6A	-0.201	5.797e-01	-0.589	0.386	0.561	6.347e-01
C11orf30	-0.378	6.472e-01	-0.145	0.387	0.561	6.355e-01
ZNF280D	-0.032	5.128e-01	-3.092	0.396	0.561	6.355e-01
MEN1	-0.184	5.730e-01	-1.786	0.395	0.563	6.394e-01
EGLN2	-0.141	5.563e-01	-1.334	0.389	0.564	6.409e-01
PRDM10	-0.191	5.758e-01	-1.109	0.390	0.564	6.417e-01
KLF5	-1.047	8.524e-01	-3.102	0.439	0.565	6.440e-01
WT1	-0.185	5.733e-01	-1.723	0.392	0.571	6.562e-01
ZBTB42	-0.249	5.984e-01	-0.692	0.384	0.573	6.600e-01
RFX1	-0.821	7.942e-01	-1.893	0.421	0.573	6.615e-01
CBX4	-0.031	5.122e-01	-3.966	0.395	0.576	6.660e-01
AGO2	0.056	4.776e-01	-5.949	0.401	0.578	6.713e-01
GRHL1	-0.188	5.744e-01	-1.528	0.387	0.579	6.736e-01
LEF1	-1.417	9.217e-01	-6.618	0.482	0.580	6.758e-01
ZBTB1	-0.084	5.334e-01	-3.945	0.395	0.581	6.765e-01
NR0B1	-0.023	5.091e-01	-4.538	0.396	0.581	6.765e-01
RBPJ	-1.180	8.810e-01	-3.054	0.437	0.581	6.773e-01
POLR2AphosphoS5	-0.725	7.658e-01	-1.649	0.408	0.581	6.780e-01
RUNX1	-2.309	9.895e-01	-1.358	0.453	0.584	6.840e-01
ZTA	-0.795	7.868e-01	0.669	0.385	0.584	6.840e-01
KLF15	-1.551	9.396e-01	-6.572	0.482	0.586	6.877e-01
MBD2	-2.150	9.842e-01	-4.186	0.476	0.586	6.884e-01
RAD51	-0.662	7.459e-01	-2.213	0.406	0.587	6.899e-01
H2AZ	-1.735	9.587e-01	-6.409	0.490	0.587	6.906e-01
FOXK2	-1.140	8.728e-01	-4.551	0.443	0.587	6.906e-01
DROSHA	-0.591	7.229e-01	-3.807	0.415	0.588	6.928e-01
STAT5A	-0.489	6.877e-01	-1.106	0.388	0.593	7.023e-01
MYNN	-0.566	7.142e-01	-4.112	0.412	0.594	7.037e-01
SP7	-0.256	6.009e-01	-2.264	0.387	0.596	7.081e-01
ZNF792	-0.144	5.574e-01	-4.188	0.394	0.596	7.081e-01
ZNF257	-0.308	6.208e-01	-1.331	0.380	0.598	7.124e-01
MED1	-3.597	9.998e-01	-6.757	0.515	0.601	7.181e-01
ZNF580	-0.150	5.596e-01	-4.499	0.394	0.602	7.202e-01
ASH1L	0.047	4.812e-01	-8.352	0.400	0.603	7.216e-01
NCOR2	-0.448	6.727e-01	-1.012	0.381	0.603	7.223e-01
FOXK1	-0.815	7.924e-01	-1.349	0.398	0.604	7.237e-01
BRD7	-0.260	6.026e-01	-2.089	0.383	0.604	7.244e-01
INSM2	-0.248	5.978e-01	-4.312	0.395	0.605	7.258e-01
LANA	-0.208	5.822e-01	-6.044	0.402	0.606	7.279e-01
KDM5B	-1.066	8.568e-01	-3.167	0.422	0.608	7.314e-01
BRD4	-4.788	1.000e+00	-7.954	0.524	0.609	7.335e-01
ZNF273	-0.257	6.015e-01	-2.598	0.383	0.609	7.335e-01
MED12	-0.626	7.345e-01	-2.098	0.394	0.610	7.349e-01
SMARCB1	-1.056	8.546e-01	-3.736	0.423	0.610	7.363e-01
SIRT6	-0.428	6.658e-01	-0.844	0.373	0.610	7.363e-01
BACH1	-0.628	7.351e-01	-2.136	0.394	0.611	7.383e-01
TRIM24	-1.284	9.005e-01	-2.378	0.423	0.612	7.390e-01
HDGF	-1.787	9.630e-01	-4.606	0.455	0.612	7.390e-01
MYBL2	-0.349	6.364e-01	-1.663	0.378	0.612	7.397e-01
ZFX	-2.010	9.778e-01	-6.842	0.477	0.613	7.411e-01
NR2F6	-0.839	7.992e-01	0.103	0.380	0.613	7.411e-01
NFIA	-0.850	8.025e-01	-1.179	0.394	0.616	7.465e-01
ZNF519	-0.343	6.341e-01	-1.918	0.378	0.616	7.465e-01
LMO1	-0.428	6.655e-01	-1.302	0.374	0.620	7.553e-01
ZNF335	-0.401	6.559e-01	-3.205	0.387	0.621	7.566e-01
NFKB1	-0.752	7.740e-01	-1.160	0.386	0.623	7.606e-01
HIC1	-0.392	6.523e-01	-2.946	0.383	0.624	7.613e-01
UHRF2	-0.331	6.297e-01	-2.801	0.379	0.624	7.619e-01
ZBTB26	-0.603	7.269e-01	-7.311	0.417	0.625	7.633e-01
MGEA5	-0.356	6.390e-01	-2.485	0.377	0.625	7.639e-01
ZBTB40	-0.807	7.903e-01	-3.637	0.403	0.626	7.652e-01
USF1	-1.104	8.651e-01	-5.615	0.427	0.627	7.672e-01
RB1	-1.032	8.490e-01	-7.388	0.431	0.629	7.717e-01
RFX5	-0.781	7.825e-01	-6.022	0.416	0.629	7.717e-01
ZKSCAN5	-0.249	5.983e-01	-4.266	0.384	0.629	7.717e-01
ZNF623	-0.390	6.516e-01	-3.573	0.385	0.630	7.724e-01
SCML2	-0.562	7.128e-01	-3.183	0.388	0.631	7.743e-01
E2F8	-0.364	6.421e-01	-2.856	0.377	0.633	7.775e-01
MEF2D	-0.555	7.107e-01	-1.484	0.376	0.633	7.781e-01
PPARGC1A	-0.366	6.427e-01	-2.835	0.377	0.633	7.788e-01
GLI2	-1.566	9.413e-01	-6.650	0.447	0.634	7.794e-01
ZNF528	-0.234	5.925e-01	-5.324	0.384	0.636	7.838e-01
SETX	-0.205	5.812e-01	-5.667	0.386	0.637	7.851e-01
GATAD1	-0.768	7.787e-01	-4.489	0.400	0.639	7.882e-01
ZFP37	-0.328	6.285e-01	-4.762	0.385	0.641	7.913e-01
ZNF436	-0.685	7.534e-01	-0.071	0.360	0.641	7.913e-01
ZNF394	-0.392	6.527e-01	-4.130	0.383	0.642	7.938e-01
SKI	-0.494	6.895e-01	-1.516	0.370	0.643	7.956e-01
KDM2B	-3.116	9.991e-01	-3.745	0.442	0.644	7.968e-01
ZNF468	-0.463	6.782e-01	-2.068	0.372	0.644	7.974e-01
PKNOX1	-0.676	7.506e-01	-1.115	0.372	0.645	7.980e-01
ZEB1	-0.987	8.383e-01	-5.949	0.417	0.646	8.005e-01
CD74	-0.913	8.193e-01	-1.784	0.387	0.647	8.023e-01
HSF1	-1.342	9.101e-01	-7.371	0.438	0.647	8.023e-01
BCLAF1	-0.900	8.160e-01	-3.379	0.394	0.649	8.058e-01
MCM3	-0.537	7.044e-01	-3.352	0.380	0.650	8.070e-01
CHD4	-0.695	7.563e-01	-2.532	0.381	0.650	8.076e-01
ZSCAN23	-0.342	6.340e-01	-5.913	0.386	0.650	8.076e-01
MECP2	-0.625	7.339e-01	-6.764	0.401	0.651	8.088e-01
GTF3C5	-0.578	7.182e-01	-4.180	0.386	0.651	8.094e-01
CHAMP1	-0.614	7.303e-01	-2.695	0.377	0.653	8.123e-01
CBX1	-0.923	8.220e-01	-7.480	0.418	0.654	8.129e-01
ETV7	-0.442	6.709e-01	-3.136	0.373	0.654	8.135e-01
CSDE1	-1.009	8.434e-01	-4.202	0.400	0.657	8.192e-01
WHSC1	-0.598	7.249e-01	-2.845	0.374	0.659	8.209e-01
ZNF189	-0.242	5.957e-01	-7.264	0.384	0.659	8.220e-01
ZNF692	-0.492	6.887e-01	-4.484	0.381	0.660	8.226e-01
ZBTB7A	-3.988	1.000e+00	-9.020	0.469	0.666	8.320e-01
TET3	-1.112	8.669e-01	-4.543	0.403	0.666	8.320e-01
C17orf49	-0.465	6.790e-01	-5.383	0.381	0.666	8.325e-01
RXRG	-1.161	8.773e-01	-2.414	0.392	0.667	8.336e-01
CD59	-0.558	7.116e-01	-2.755	0.367	0.668	8.347e-01
ZNF346	-0.380	6.481e-01	-6.700	0.384	0.668	8.357e-01
FOXG1	-0.471	6.810e-01	-3.754	0.371	0.669	8.363e-01
ING2	-0.423	6.639e-01	-4.608	0.374	0.669	8.368e-01
ZNF391	-0.362	6.412e-01	-8.808	0.390	0.671	8.394e-01
TBL1XR1	-0.959	8.312e-01	-3.365	0.387	0.672	8.405e-01
SON	-0.704	7.594e-01	-1.316	0.359	0.673	8.420e-01
TBL1X	-0.493	6.889e-01	-3.716	0.370	0.673	8.420e-01
ZNF770	-0.667	7.476e-01	-1.749	0.361	0.673	8.426e-01
DIDO1	-0.479	6.842e-01	-5.376	0.379	0.673	8.426e-01
TRIM25	-1.619	9.473e-01	-2.624	0.405	0.674	8.436e-01
WDHD1	-0.685	7.533e-01	-3.048	0.373	0.674	8.441e-01
ZNF143	-1.969	9.755e-01	-9.442	0.445	0.675	8.462e-01
TARDBP	-1.136	8.720e-01	-3.312	0.393	0.676	8.472e-01
NCOR1	-1.118	8.683e-01	-7.291	0.414	0.677	8.477e-01
L3MBTL4	-0.436	6.685e-01	-5.324	0.373	0.677	8.487e-01
NBN	-1.290	9.014e-01	-4.555	0.405	0.679	8.512e-01
IKZF2	-0.849	8.020e-01	-1.843	0.368	0.679	8.517e-01
ZBTB6	-0.846	8.013e-01	-3.001	0.376	0.680	8.527e-01
ZXDB	-0.462	6.778e-01	-6.198	0.380	0.681	8.542e-01
STAT5B	-1.573	9.422e-01	-2.330	0.397	0.682	8.552e-01
RUNX1T1	-1.298	9.029e-01	-1.560	0.385	0.683	8.562e-01
EGR3	-0.788	7.847e-01	-1.315	0.355	0.683	8.562e-01
SMARCC2	-0.685	7.533e-01	-3.372	0.371	0.683	8.567e-01
ZNF324	-0.700	7.580e-01	-9.353	0.400	0.683	8.567e-01
ZMIZ1	-0.767	7.784e-01	-4.988	0.382	0.685	8.596e-01
SP4	-1.415	9.215e-01	-5.639	0.413	0.686	8.600e-01
ZNF441	-0.545	7.071e-01	-4.197	0.367	0.686	8.600e-01
ARNTL	-1.250	8.944e-01	-11.315	0.426	0.688	8.629e-01
BCL3	-3.546	9.998e-01	-6.096	0.436	0.691	8.671e-01
ZNF467	-0.677	7.507e-01	-2.959	0.361	0.691	8.676e-01
CDK12	-0.570	7.155e-01	-4.367	0.366	0.692	8.685e-01
MYC	-9.429	1.000e+00	-26.775	0.487	0.693	8.694e-01
RAC3	-0.687	7.538e-01	-2.869	0.360	0.693	8.694e-01
ZNF343	-0.400	6.555e-01	-7.320	0.375	0.694	8.708e-01
ZNF600	-0.789	7.849e-01	-3.279	0.367	0.695	8.726e-01
ZMYND8	-1.374	9.153e-01	-4.285	0.399	0.696	8.731e-01
BHLHE40	-1.181	8.813e-01	-6.210	0.401	0.697	8.753e-01
THAP11	-0.327	6.282e-01	-10.283	0.379	0.698	8.757e-01
HDAC2	-2.063	9.804e-01	-5.962	0.422	0.699	8.771e-01
POLR3A	-1.053	8.537e-01	-3.253	0.376	0.701	8.797e-01
ETV1	-0.983	8.371e-01	-9.386	0.402	0.702	8.810e-01
YBX3	-0.767	7.785e-01	-4.766	0.373	0.702	8.814e-01
GLI4	-0.576	7.176e-01	-7.045	0.376	0.704	8.831e-01
POLR2H	-0.824	7.950e-01	-3.948	0.368	0.705	8.848e-01
ZMYM3	-2.852	9.978e-01	-3.008	0.405	0.708	8.877e-01
CBFB	-2.791	9.974e-01	-8.005	0.432	0.709	8.894e-01
EZH1	-1.332	9.086e-01	-3.431	0.387	0.710	8.906e-01
CDK8	-2.005	9.775e-01	-7.030	0.422	0.710	8.906e-01
ZNF76	-1.238	8.922e-01	-9.930	0.410	0.710	8.906e-01
SP1	-3.338	9.996e-01	-7.571	0.432	0.711	8.918e-01
ZNF18	-0.927	8.229e-01	-8.819	0.394	0.712	8.930e-01
ZFP69B	-0.641	7.391e-01	-6.492	0.372	0.714	8.942e-01
ZFP2	-0.810	7.911e-01	-5.509	0.372	0.715	8.954e-01
AFF4	-3.829	9.999e-01	-34.735	0.472	0.715	8.958e-01
UBTF	-1.632	9.487e-01	-12.723	0.426	0.716	8.966e-01
BRD3	-1.699	9.553e-01	-17.290	0.433	0.718	8.986e-01
POLR2A	-37.128	1.000e+00	-56.795	0.478	0.719	9.005e-01
ZNF501	-0.652	7.428e-01	-7.522	0.375	0.720	9.009e-01
KLF11	-1.058	8.550e-01	-4.617	0.377	0.720	9.009e-01
PRDM2	-0.825	7.954e-01	-5.782	0.373	0.720	9.009e-01
MYH11	-1.986	9.765e-01	-7.353	0.417	0.721	9.020e-01
ZNF592	-1.042	8.514e-01	-4.090	0.371	0.721	9.028e-01
WDR5	-1.907	9.717e-01	-7.440	0.412	0.729	9.105e-01
CNOT3	-1.296	9.026e-01	-1.152	0.349	0.732	9.136e-01
NELFE	-4.630	1.000e+00	-33.099	0.459	0.733	9.140e-01
L3MBTL2	-1.010	8.437e-01	-3.994	0.361	0.733	9.140e-01
MAX	-2.929	9.983e-01	-7.455	0.421	0.734	9.154e-01
KLF8	-0.744	7.716e-01	-8.592	0.373	0.735	9.164e-01
TRAF7	-1.320	9.066e-01	-5.540	0.384	0.736	9.171e-01
CDK9	-3.490	9.998e-01	-10.068	0.428	0.737	9.177e-01
ZNF423	-0.974	8.351e-01	-4.562	0.362	0.737	9.181e-01
ZNF414	-0.706	7.598e-01	-8.703	0.373	0.737	9.181e-01
ZEB2	-1.289	9.013e-01	-5.616	0.382	0.737	9.184e-01
FOXJ2	-0.867	8.071e-01	-6.019	0.366	0.737	9.184e-01
ORC2	-0.764	7.777e-01	-5.749	0.356	0.737	9.184e-01
PTPN11	-0.441	6.704e-01	-15.349	0.373	0.738	9.194e-01
BRCA1	-1.443	9.255e-01	-15.657	0.415	0.739	9.197e-01
MBD1	-1.135	8.718e-01	-4.492	0.370	0.739	9.197e-01
GLYR1	-0.620	7.324e-01	-7.916	0.363	0.739	9.204e-01
ZNF263	-1.757	9.606e-01	-4.311	0.388	0.740	9.207e-01
ZNF24	-1.344	9.105e-01	-5.767	0.386	0.740	9.211e-01
EGR2	-1.665	9.520e-01	-3.872	0.382	0.742	9.230e-01
MIER1	-0.969	8.338e-01	-4.768	0.361	0.743	9.233e-01
ZNF610	-0.787	7.844e-01	-8.892	0.373	0.743	9.236e-01
E2F5	-0.967	8.333e-01	-5.710	0.364	0.744	9.243e-01
CASP8AP2	-0.648	7.415e-01	-7.901	0.362	0.744	9.243e-01
RARG	-1.302	9.036e-01	-3.148	0.363	0.745	9.252e-01
ZSCAN29	-0.908	8.181e-01	-6.199	0.364	0.747	9.268e-01
TAZ	-0.964	8.324e-01	-3.873	0.345	0.748	9.284e-01
ZNF644	-0.979	8.362e-01	-6.074	0.366	0.750	9.293e-01
ZNF318	-1.338	9.095e-01	-3.169	0.363	0.750	9.296e-01
BCOR	-1.527	9.366e-01	-4.009	0.376	0.751	9.305e-01
CREB1	-3.681	9.999e-01	-15.889	0.431	0.752	9.311e-01
YY1	-4.687	1.000e+00	-19.747	0.436	0.753	9.326e-01
FOXP3	-1.083	8.606e-01	-5.907	0.365	0.754	9.329e-01
DLX1	-0.774	7.805e-01	-7.157	0.355	0.754	9.332e-01
CDK7	-1.882	9.701e-01	-7.096	0.396	0.755	9.335e-01
KDM3A	-0.718	7.636e-01	-11.349	0.370	0.755	9.340e-01
NFATC1	-1.669	9.525e-01	-10.077	0.403	0.755	9.340e-01
KDM5C	-1.321	9.067e-01	-10.113	0.394	0.755	9.340e-01
CCDC101	-0.907	8.179e-01	-10.149	0.376	0.756	9.343e-01
ZNF71	-0.849	8.021e-01	-13.274	0.377	0.758	9.360e-01
ZBTB8A	-1.060	8.554e-01	-5.610	0.359	0.758	9.363e-01
ZNF740	-1.522	9.360e-01	-7.884	0.392	0.760	9.377e-01
CHD2	-1.349	9.114e-01	-14.451	0.400	0.762	9.391e-01
MLLT1	-2.018	9.782e-01	-5.992	0.391	0.764	9.405e-01
ARID5B	-0.927	8.231e-01	-5.724	0.347	0.767	9.429e-01
BARX1	-0.827	7.959e-01	-7.546	0.353	0.767	9.434e-01
ZNF574	-0.646	7.409e-01	-13.302	0.362	0.768	9.437e-01
XRN2	-3.044	9.988e-01	-26.510	0.430	0.769	9.447e-01
KLF3	-0.980	8.366e-01	-5.092	0.344	0.769	9.447e-01
ZNF584	-1.089	8.620e-01	-6.475	0.361	0.769	9.447e-01
INO80	-1.728	9.580e-01	-10.042	0.397	0.770	9.452e-01
KMT2A	-2.114	9.827e-01	-4.657	0.381	0.771	9.460e-01
CREB3	-1.178	8.806e-01	-5.042	0.353	0.772	9.465e-01
USF2	-2.155	9.844e-01	-7.499	0.394	0.773	9.470e-01
GTF2F1	-1.241	8.927e-01	-17.025	0.392	0.773	9.473e-01
NCOA1	-1.110	8.665e-01	-6.356	0.360	0.773	9.475e-01
HINFP	-1.116	8.677e-01	-7.908	0.368	0.774	9.480e-01
SOX9	-1.134	8.717e-01	-11.730	0.378	0.776	9.493e-01
ZNF589	-1.116	8.678e-01	-6.519	0.360	0.776	9.495e-01
PML	-2.172	9.851e-01	-4.744	0.380	0.778	9.505e-01
EP400	-0.858	8.045e-01	-7.966	0.351	0.778	9.509e-01
E2F6	-2.373	9.912e-01	-8.683	0.395	0.781	9.528e-01
ZSCAN5A	-0.918	8.206e-01	-11.247	0.362	0.782	9.531e-01
ZNF341	-1.338	9.095e-01	-4.890	0.358	0.783	9.538e-01
CDC5L	-1.246	8.936e-01	-5.871	0.355	0.783	9.542e-01
ADNP	-1.303	9.037e-01	-4.733	0.351	0.786	9.558e-01
KLF17	-1.178	8.806e-01	-6.503	0.354	0.787	9.564e-01
ZNF197	-1.095	8.632e-01	-7.619	0.356	0.789	9.575e-01
ZNF121	-1.550	9.395e-01	-5.638	0.365	0.789	9.575e-01
COPS2	-0.848	8.019e-01	-10.992	0.352	0.789	9.580e-01
ZBTB33	-3.288	9.995e-01	-16.988	0.411	0.793	9.599e-01
KLF7	-0.966	8.331e-01	-13.009	0.362	0.793	9.599e-01
DNMT3B	-2.155	9.844e-01	-4.478	0.367	0.796	9.615e-01
MKL1	-0.916	8.201e-01	-9.435	0.348	0.796	9.615e-01
MYCN	-2.499	9.938e-01	-13.545	0.399	0.797	9.625e-01
TET1	-0.890	8.132e-01	-11.877	0.350	0.799	9.633e-01
MAZ	-2.477	9.934e-01	-8.286	0.387	0.799	9.637e-01
ZKSCAN8	-1.228	8.902e-01	-7.570	0.357	0.799	9.637e-01
HDAC1	-3.593	9.998e-01	-14.397	0.405	0.800	9.641e-01
NR2C2	-3.147	9.992e-01	-17.356	0.406	0.801	9.647e-01
TRRAP	-1.084	8.609e-01	-10.250	0.358	0.801	9.647e-01
SETD1A	-1.222	8.891e-01	-9.769	0.364	0.801	9.647e-01
