TR	statistic	pvalue	zscore	max_auc	re_rank	irwin_hall_pvalue
LMO1	0.496	3.099e-01	0.776	0.571	0.434	3.546e-01
POLR2AphosphoS5	0.547	2.924e-01	0.245	0.580	0.435	3.562e-01
ARNT2	1.022	1.533e-01	-0.689	0.594	0.437	3.615e-01
RB1	1.232	1.089e-01	-1.782	0.603	0.441	3.685e-01
SMARCB1	0.468	3.197e-01	-0.071	0.591	0.441	3.685e-01
SF1	0.245	4.031e-01	1.775	0.562	0.441	3.685e-01
ZSCAN22	1.717	4.303e-02	-2.550	0.599	0.442	3.708e-01
GTF2F1	1.031	1.513e-01	-2.378	0.617	0.443	3.724e-01
ZNF430	0.298	3.827e-01	1.517	0.564	0.444	3.755e-01
MKL1	0.904	1.829e-01	-0.509	0.588	0.445	3.778e-01
ZSCAN5A	1.125	1.302e-01	-0.611	0.585	0.445	3.786e-01
SOX9	1.020	1.538e-01	-1.165	0.600	0.448	3.841e-01
ESRRA	0.201	4.202e-01	0.432	0.585	0.448	3.848e-01
HOXA6	0.907	1.821e-01	-0.572	0.588	0.448	3.848e-01
BPTF	0.778	2.182e-01	-0.294	0.582	0.449	3.864e-01
CRY1	0.162	4.357e-01	2.269	0.559	0.449	3.864e-01
ZNF18	0.730	2.327e-01	-0.625	0.596	0.451	3.903e-01
FOXM1	0.767	2.216e-01	-1.836	0.617	0.452	3.927e-01
IKZF2	0.406	3.424e-01	0.935	0.567	0.452	3.927e-01
RXRG	0.719	2.359e-01	-0.075	0.578	0.453	3.951e-01
CDK6	1.027	1.521e-01	-0.946	0.595	0.456	4.014e-01
SPI1	-1.492	9.321e-01	0.325	0.631	0.457	4.029e-01
WDHD1	0.599	2.746e-01	0.327	0.570	0.457	4.037e-01
SUZ12	-0.446	6.722e-01	0.427	0.602	0.457	4.045e-01
ASCL1	-0.449	6.731e-01	1.773	0.575	0.458	4.061e-01
PARP1	-0.056	5.224e-01	6.833	0.551	0.458	4.061e-01
JMJD1C	0.143	4.430e-01	0.487	0.582	0.460	4.109e-01
ZNF260	0.483	3.146e-01	0.500	0.570	0.461	4.132e-01
RELA	0.178	4.294e-01	-0.578	0.612	0.463	4.164e-01
PBX1	0.317	3.757e-01	0.879	0.567	0.464	4.188e-01
NFKB1	0.485	3.140e-01	0.339	0.572	0.464	4.204e-01
SIX4	0.240	4.051e-01	1.367	0.562	0.465	4.212e-01
TFAP2A	-0.047	5.186e-01	1.343	0.570	0.466	4.244e-01
RNF2	-0.509	6.945e-01	0.556	0.598	0.468	4.284e-01
RUVBL1	0.977	1.642e-01	-0.889	0.592	0.468	4.284e-01
NPAT	1.037	1.498e-01	-1.322	0.595	0.469	4.300e-01
PSIP1	0.178	4.295e-01	0.513	0.578	0.469	4.308e-01
KLF11	0.826	2.043e-01	-0.305	0.575	0.470	4.324e-01
ZBTB8A	0.775	2.192e-01	-0.227	0.575	0.470	4.332e-01
TRRAP	1.059	1.449e-01	-1.027	0.590	0.471	4.340e-01
ZMIZ1	0.575	2.826e-01	-0.019	0.574	0.471	4.348e-01
WHSC1	0.587	2.786e-01	0.275	0.568	0.472	4.372e-01
ZNF239	0.549	2.916e-01	0.290	0.569	0.472	4.380e-01
MCRS1	1.156	1.239e-01	-2.683	0.601	0.473	4.388e-01
ZNF440	-0.102	5.404e-01	4.143	0.549	0.475	4.444e-01
ZNF506	-0.060	5.240e-01	2.914	0.551	0.476	4.460e-01
TCF12	-0.162	5.642e-01	0.217	0.593	0.476	4.468e-01
TET1	1.020	1.538e-01	-1.375	0.594	0.477	4.476e-01
MYB	0.497	3.094e-01	0.157	0.572	0.478	4.500e-01
BMI1	-1.185	8.820e-01	0.505	0.610	0.478	4.500e-01
KDM6A	0.371	3.553e-01	0.689	0.566	0.478	4.508e-01
IRAK4	1.106	1.343e-01	-2.125	0.598	0.478	4.516e-01
INTS12	0.811	2.086e-01	-0.619	0.584	0.478	4.516e-01
ZNF341	0.803	2.110e-01	-0.301	0.574	0.479	4.524e-01
ZNF778	-0.027	5.108e-01	0.765	0.575	0.480	4.549e-01
SIRT6	0.185	4.268e-01	1.440	0.560	0.480	4.549e-01
ZNF331	-0.107	5.427e-01	3.917	0.549	0.480	4.549e-01
LMTK3	-0.009	5.036e-01	1.233	0.567	0.481	4.565e-01
FOXO3	0.156	4.378e-01	0.297	0.579	0.481	4.581e-01
CHD2	1.025	1.527e-01	-2.025	0.599	0.482	4.605e-01
PRDM12	-0.018	5.074e-01	2.314	0.553	0.484	4.645e-01
CCDC101	0.946	1.721e-01	-1.452	0.595	0.485	4.653e-01
ZFP2	0.568	2.850e-01	-0.239	0.576	0.487	4.710e-01
NCOR2	0.531	2.978e-01	0.180	0.568	0.487	4.718e-01
MED12	0.524	3.003e-01	0.109	0.569	0.488	4.734e-01
RFX2	0.950	1.712e-01	-1.241	0.591	0.489	4.758e-01
CREM	0.119	4.528e-01	0.236	0.580	0.490	4.766e-01
EZH2	-2.122	9.831e-01	0.537	0.614	0.490	4.782e-01
ZNF16	0.349	3.634e-01	0.670	0.564	0.492	4.815e-01
TP53	-1.598	9.450e-01	0.111	0.620	0.492	4.823e-01
ILK	-0.105	5.417e-01	1.794	0.559	0.493	4.847e-01
PPARGC1A	0.362	3.586e-01	0.518	0.566	0.494	4.855e-01
USP49	0.185	4.265e-01	1.087	0.560	0.494	4.871e-01
ZNF766	-0.112	5.446e-01	1.509	0.563	0.495	4.888e-01
HJURP	0.424	3.358e-01	0.189	0.568	0.497	4.928e-01
BIRA	-0.129	5.513e-01	0.837	0.572	0.497	4.936e-01
JUNB	-0.196	5.777e-01	-0.199	0.600	0.498	4.944e-01
ESR1	-9.404	1.000e+00	0.852	0.607	0.499	4.976e-01
ZNF563	-0.034	5.136e-01	1.985	0.552	0.500	5.009e-01
FLI1	-0.772	7.800e-01	-0.509	0.633	0.501	5.025e-01
USF1	0.442	3.292e-01	-0.417	0.582	0.501	5.025e-01
CDK2	-0.565	7.139e-01	4.569	0.553	0.502	5.041e-01
KDM3A	1.143	1.266e-01	-1.730	0.586	0.502	5.049e-01
ZNF780A	-0.072	5.285e-01	2.188	0.551	0.503	5.074e-01
HOXA4	0.699	2.422e-01	-0.645	0.579	0.505	5.114e-01
ETV7	0.481	3.153e-01	-0.059	0.570	0.505	5.122e-01
RYBP	0.318	3.753e-01	-0.135	0.576	0.508	5.187e-01
ZNF808	-0.304	6.195e-01	16.525	0.542	0.508	5.187e-01
ZBTB1	0.639	2.614e-01	-0.338	0.571	0.509	5.195e-01
ZNF610	1.042	1.488e-01	-1.379	0.582	0.510	5.219e-01
ELK3	1.029	1.518e-01	-2.780	0.595	0.510	5.227e-01
ZBTB7B	0.920	1.789e-01	-1.620	0.589	0.510	5.235e-01
ZNF697	-0.383	6.492e-01	1.666	0.563	0.511	5.251e-01
ZNF75D	-0.377	6.467e-01	6.039	0.544	0.511	5.251e-01
CDK12	0.575	2.825e-01	-0.412	0.574	0.512	5.259e-01
NFE2L2	-0.364	6.421e-01	-0.579	0.613	0.512	5.276e-01
GATAD2B	0.434	3.321e-01	-0.074	0.571	0.512	5.276e-01
IRAK1	1.002	1.581e-01	-2.360	0.593	0.512	5.276e-01
BARX1	0.716	2.369e-01	-0.758	0.580	0.512	5.276e-01
ATF3	-0.383	6.493e-01	-0.831	0.628	0.513	5.284e-01
ZNF257	0.208	4.176e-01	0.734	0.561	0.513	5.292e-01
CTBP1	0.141	4.440e-01	0.692	0.564	0.515	5.332e-01
ZBTB26	0.616	2.691e-01	-2.248	0.601	0.515	5.348e-01
ZNF675	-0.198	5.786e-01	2.734	0.546	0.515	5.348e-01
SP140	-0.043	5.170e-01	0.829	0.566	0.516	5.364e-01
MBD1	0.509	3.055e-01	-0.193	0.569	0.518	5.413e-01
ZBTB16	0.202	4.199e-01	0.306	0.567	0.519	5.421e-01
MYNN	0.513	3.040e-01	-0.183	0.568	0.520	5.445e-01
NR2F1	-0.233	5.919e-01	0.932	0.568	0.520	5.445e-01
ZNF682	0.471	3.188e-01	-0.120	0.569	0.520	5.453e-01
GATA2	-5.093	1.000e+00	0.418	0.610	0.521	5.477e-01
DLX1	0.676	2.495e-01	-0.776	0.578	0.522	5.485e-01
PPARD	0.651	2.574e-01	-0.688	0.577	0.522	5.485e-01
ZNF101	0.073	4.709e-01	0.856	0.561	0.522	5.493e-01
ZNF429	-0.182	5.723e-01	2.377	0.546	0.522	5.493e-01
E2F3	0.711	2.386e-01	-0.866	0.580	0.523	5.509e-01
ZNF280D	0.499	3.088e-01	-0.056	0.566	0.524	5.533e-01
CBX3	-0.355	6.386e-01	1.666	0.558	0.524	5.541e-01
ZNF292	0.092	4.634e-01	1.005	0.557	0.525	5.557e-01
ZFP28	-0.210	5.830e-01	2.047	0.550	0.525	5.565e-01
AGO2	0.757	2.246e-01	-1.135	0.582	0.527	5.606e-01
LANA	0.839	2.008e-01	-1.887	0.588	0.527	5.614e-01
PR	-2.966	9.985e-01	0.935	0.592	0.528	5.630e-01
HCFC1R1	-0.038	5.150e-01	1.447	0.552	0.528	5.630e-01
ZNF140	-0.327	6.281e-01	1.839	0.554	0.530	5.670e-01
E2F7	-0.229	5.905e-01	-0.821	0.611	0.530	5.678e-01
ZNF765	-0.194	5.769e-01	2.254	0.546	0.531	5.702e-01
ZNF438	0.129	4.488e-01	0.758	0.559	0.532	5.726e-01
TCF7	-0.497	6.904e-01	0.517	0.578	0.533	5.734e-01
ING5	0.026	4.897e-01	1.085	0.554	0.533	5.734e-01
LDB1	-0.164	5.652e-01	2.005	0.547	0.533	5.734e-01
ZNF519	0.358	3.603e-01	-0.010	0.566	0.534	5.758e-01
IRF1	0.197	4.219e-01	-0.447	0.581	0.535	5.781e-01
SRCAP	-0.385	6.500e-01	3.570	0.539	0.535	5.781e-01
SOX13	0.065	4.740e-01	0.553	0.564	0.536	5.805e-01
GRHL1	0.384	3.503e-01	-0.106	0.567	0.536	5.813e-01
ZNF701	0.133	4.472e-01	0.723	0.558	0.536	5.813e-01
E2F8	0.405	3.426e-01	-0.164	0.568	0.537	5.821e-01
PLRG1	-0.186	5.739e-01	1.541	0.552	0.537	5.837e-01
ZNF71	0.838	2.011e-01	-2.315	0.589	0.538	5.861e-01
HNF4A	-0.594	7.237e-01	1.110	0.567	0.539	5.869e-01
PMEL	0.211	4.163e-01	-1.339	0.599	0.539	5.877e-01
ZBTB6	0.363	3.581e-01	-0.045	0.565	0.540	5.901e-01
FANCD2	-0.476	6.829e-01	4.208	0.536	0.541	5.917e-01
GRHL2	-1.581	9.430e-01	1.574	0.571	0.541	5.925e-01
ZNF479	-0.098	5.392e-01	1.451	0.550	0.542	5.932e-01
ZNF136	-0.509	6.947e-01	5.670	0.535	0.542	5.932e-01
SKI	0.275	3.915e-01	0.113	0.563	0.542	5.932e-01
DPPA2	-0.412	6.599e-01	2.974	0.538	0.543	5.956e-01
ZNF189	0.638	2.618e-01	-0.935	0.577	0.546	6.027e-01
ZNF264	0.507	3.062e-01	-0.586	0.572	0.546	6.035e-01
CHD8	-0.497	6.906e-01	-0.041	0.587	0.548	6.067e-01
CREB3L4	0.256	3.990e-01	0.098	0.563	0.549	6.082e-01
ZNF134	-0.022	5.088e-01	0.978	0.552	0.549	6.098e-01
ASH1L	0.857	1.956e-01	-2.623	0.586	0.550	6.106e-01
ZNF586	-0.567	7.148e-01	6.076	0.532	0.550	6.114e-01
HEXIM1	0.417	3.385e-01	-1.319	0.588	0.553	6.169e-01
APOBEC3B	0.106	4.577e-01	0.582	0.557	0.553	6.176e-01
KLF8	0.693	2.440e-01	-0.886	0.572	0.555	6.223e-01
ZNF823	-0.556	7.110e-01	3.859	0.533	0.555	6.231e-01
ZNF92	-0.339	6.326e-01	2.242	0.541	0.555	6.231e-01
RCOR1	-0.020	5.081e-01	0.004	0.570	0.557	6.270e-01
DACOR1	-0.601	7.262e-01	4.626	0.531	0.557	6.270e-01
TBL1X	0.435	3.317e-01	-0.494	0.569	0.558	6.278e-01
RFX5	0.460	3.229e-01	-1.972	0.593	0.558	6.285e-01
MAF	-0.207	5.819e-01	-0.815	0.600	0.558	6.285e-01
GATAD1	0.509	3.053e-01	-1.519	0.586	0.559	6.301e-01
ZNF781	-0.573	7.168e-01	2.284	0.547	0.559	6.316e-01
FOXP1	-0.426	6.651e-01	-0.335	0.590	0.559	6.316e-01
ZNF512	-0.606	7.278e-01	2.742	0.540	0.560	6.340e-01
NR2F2	-0.492	6.888e-01	0.431	0.571	0.561	6.355e-01
ASXL1	0.730	2.327e-01	-1.927	0.581	0.563	6.386e-01
ZNF17	-0.468	6.801e-01	2.444	0.536	0.563	6.401e-01
BAHD1	-1.082	8.605e-01	3.861	0.543	0.565	6.448e-01
ZBED1	0.267	3.948e-01	-0.203	0.564	0.569	6.524e-01
RUNX2	-0.539	7.052e-01	1.335	0.555	0.569	6.524e-01
REST	-7.646	1.000e+00	-0.160	0.611	0.570	6.539e-01
HNF4G	-1.311	9.050e-01	0.999	0.570	0.570	6.539e-01
MGEA5	0.354	3.615e-01	-0.367	0.566	0.570	6.555e-01
MYBL2	0.055	4.782e-01	0.497	0.556	0.571	6.562e-01
KDM6B	-0.160	5.637e-01	-0.593	0.587	0.571	6.570e-01
FOXG1	0.429	3.340e-01	-0.597	0.568	0.572	6.585e-01
ZNF138	0.127	4.494e-01	0.258	0.558	0.573	6.608e-01
RELB	-0.135	5.538e-01	0.747	0.555	0.574	6.623e-01
DROSHA	0.286	3.874e-01	-1.556	0.590	0.574	6.638e-01
MCM2	-0.617	7.314e-01	2.832	0.530	0.575	6.645e-01
HMBOX1	-0.096	5.384e-01	0.840	0.550	0.576	6.668e-01
ZNF768	0.128	4.491e-01	0.166	0.558	0.578	6.713e-01
IRF5	-0.696	7.568e-01	3.710	0.527	0.578	6.713e-01
TCF7L2	-0.442	6.707e-01	-0.684	0.596	0.579	6.728e-01
TP63	-3.592	9.998e-01	0.902	0.577	0.580	6.758e-01
ZNF680	-1.450	9.264e-01	2.305	0.551	0.580	6.758e-01
ZNF597	0.118	4.532e-01	0.135	0.558	0.583	6.810e-01
ZNF490	-0.823	7.948e-01	5.596	0.523	0.583	6.825e-01
SMARCA4	-0.275	6.085e-01	-1.512	0.605	0.585	6.847e-01
BTAF1	0.027	4.893e-01	0.355	0.554	0.585	6.855e-01
ZNF600	0.229	4.093e-01	-0.135	0.559	0.586	6.884e-01
SRC	-0.238	5.941e-01	0.124	0.566	0.587	6.899e-01
ZNF384	-0.660	7.454e-01	1.084	0.557	0.587	6.899e-01
FOS	-1.959	9.749e-01	-0.455	0.607	0.588	6.921e-01
TTF2	-0.313	6.228e-01	-1.581	0.606	0.589	6.935e-01
MBD3	-0.172	5.685e-01	-0.406	0.576	0.589	6.943e-01
ZC3H8	0.205	4.186e-01	-0.876	0.577	0.591	6.972e-01
NME2	-1.216	8.879e-01	4.856	0.529	0.591	6.972e-01
NR5A2	-0.555	7.107e-01	1.058	0.553	0.591	6.979e-01
ZNF22	-0.847	8.014e-01	4.088	0.522	0.591	6.987e-01
ZNF486	-1.183	8.815e-01	19.500	0.523	0.593	7.016e-01
VDR	-0.135	5.536e-01	-0.595	0.580	0.593	7.030e-01
EGLN2	0.125	4.503e-01	0.013	0.558	0.593	7.030e-01
POU2F2	0.144	4.428e-01	-0.461	0.568	0.595	7.059e-01
SMAD4	-0.394	6.532e-01	0.016	0.569	0.595	7.059e-01
MITF	-0.655	7.439e-01	0.717	0.563	0.595	7.066e-01
ETV5	-0.144	5.572e-01	-0.245	0.569	0.597	7.102e-01
ZNF547	0.241	4.048e-01	-0.655	0.569	0.598	7.124e-01
SMN1	-0.569	7.153e-01	1.922	0.532	0.598	7.124e-01
ZNF528	0.278	3.903e-01	-0.482	0.563	0.599	7.145e-01
ZNF793	-0.859	8.049e-01	2.279	0.537	0.599	7.145e-01
SPDEF	0.318	3.751e-01	-1.033	0.573	0.601	7.174e-01
GTF3C5	0.319	3.750e-01	-1.153	0.574	0.601	7.174e-01
FOXA1	-16.686	1.000e+00	0.014	0.593	0.603	7.223e-01
ETV4	-0.042	5.169e-01	-0.699	0.577	0.604	7.237e-01
SRF	-0.571	7.158e-01	-1.408	0.606	0.605	7.251e-01
EBF1	-0.218	5.863e-01	0.185	0.560	0.605	7.251e-01
YAP1	-2.808	9.975e-01	-0.932	0.622	0.606	7.286e-01
NIPBL	-0.649	7.418e-01	-1.631	0.612	0.608	7.307e-01
ZNF169	-0.567	7.145e-01	1.672	0.533	0.608	7.307e-01
FOSL1	-1.180	8.810e-01	-0.558	0.596	0.608	7.321e-01
ZNF485	-0.940	8.263e-01	2.812	0.518	0.609	7.328e-01
ZNF317	-1.444	9.256e-01	2.546	0.532	0.614	7.425e-01
RBL1	-0.062	5.249e-01	0.224	0.551	0.614	7.425e-01
STAT4	-0.473	6.819e-01	0.564	0.555	0.614	7.431e-01
STAT5A	0.055	4.781e-01	-0.300	0.561	0.614	7.438e-01
NFIL3	-0.316	6.241e-01	0.886	0.541	0.616	7.465e-01
NR3C1	-9.207	1.000e+00	-0.831	0.620	0.616	7.472e-01
HOTAIR	-1.890	9.706e-01	4.481	0.525	0.617	7.479e-01
LYL1	-0.822	7.945e-01	0.426	0.564	0.620	7.540e-01
NFE2L1	-0.788	7.846e-01	1.184	0.547	0.621	7.560e-01
GREB1	-0.797	7.873e-01	0.882	0.553	0.621	7.560e-01
UHRF2	0.309	3.786e-01	-0.790	0.564	0.622	7.580e-01
GLIS1	-0.073	5.290e-01	-0.291	0.562	0.623	7.606e-01
NFKB2	-0.185	5.735e-01	0.299	0.550	0.624	7.619e-01
ZNF467	0.143	4.431e-01	-0.365	0.558	0.625	7.633e-01
KLF16	-0.326	6.279e-01	0.464	0.550	0.625	7.639e-01
ZNF324	0.569	2.848e-01	-2.285	0.570	0.625	7.646e-01
ATF2	-0.994	8.400e-01	-0.841	0.597	0.627	7.665e-01
MAFG	-0.691	7.551e-01	1.478	0.535	0.627	7.672e-01
ZNF788	-0.396	6.538e-01	0.663	0.547	0.628	7.691e-01
ZNF93	-0.185	5.735e-01	0.441	0.546	0.629	7.704e-01
AR	-19.383	1.000e+00	0.158	0.581	0.629	7.717e-01
NFIC	-0.510	6.950e-01	-0.355	0.572	0.630	7.724e-01
ZSCAN23	0.470	3.192e-01	-1.376	0.566	0.630	7.730e-01
TCF4	-2.366	9.910e-01	0.607	0.568	0.630	7.730e-01
NFATC3	0.082	4.672e-01	-0.310	0.556	0.631	7.743e-01
STAT1	-0.082	5.328e-01	-1.362	0.581	0.632	7.769e-01
CTCFL	-0.095	5.379e-01	-0.457	0.565	0.632	7.769e-01
HIRA	-0.627	7.348e-01	0.041	0.565	0.633	7.781e-01
PTPN11	0.558	2.883e-01	-6.581	0.573	0.634	7.794e-01
CBFA2T2	-0.086	5.344e-01	0.029	0.550	0.634	7.794e-01
SMAD1	-1.659	9.514e-01	0.088	0.573	0.635	7.820e-01
ZNF750	-0.448	6.731e-01	0.871	0.537	0.636	7.832e-01
ZNF649	-1.200	8.849e-01	2.444	0.509	0.637	7.857e-01
ZNF618	-0.029	5.115e-01	-0.136	0.552	0.638	7.876e-01
ZNF343	0.494	3.106e-01	-2.699	0.571	0.639	7.882e-01
ZNF792	0.468	3.199e-01	-1.488	0.565	0.639	7.888e-01
ZNF549	-0.510	6.949e-01	0.988	0.535	0.640	7.895e-01
CBX4	0.412	3.401e-01	-1.667	0.568	0.640	7.907e-01
HLF	-1.122	8.690e-01	1.772	0.524	0.643	7.956e-01
FAIRE	-0.531	7.023e-01	-2.053	0.598	0.645	7.980e-01
MEF2C	0.016	4.935e-01	-0.307	0.554	0.645	7.986e-01
SMARCC2	0.313	3.772e-01	-0.937	0.561	0.646	7.999e-01
BCAT1	-0.227	5.897e-01	0.095	0.550	0.646	7.999e-01
CHRM2	-0.621	7.329e-01	-1.305	0.592	0.646	8.011e-01
ZNF26	-0.718	7.636e-01	1.347	0.527	0.648	8.035e-01
ZNF391	0.508	3.058e-01	-3.261	0.570	0.648	8.041e-01
ZFP69B	0.423	3.361e-01	-1.620	0.565	0.649	8.052e-01
BACH2	-0.189	5.751e-01	-0.399	0.562	0.650	8.070e-01
ZNF534	-0.138	5.549e-01	0.027	0.548	0.651	8.082e-01
ZNF623	0.173	4.314e-01	-0.755	0.561	0.651	8.082e-01
ZNF133	-0.834	7.980e-01	1.489	0.522	0.653	8.117e-01
ZNF84	-0.519	6.982e-01	0.780	0.534	0.654	8.140e-01
POLR2M	0.188	4.255e-01	-2.518	0.575	0.655	8.146e-01
JMJD6	-0.608	7.283e-01	-1.724	0.594	0.656	8.163e-01
NR0B1	0.423	3.361e-01	-2.544	0.568	0.657	8.192e-01
EP300	-7.664	1.000e+00	-1.505	0.616	0.658	8.198e-01
HOXA9	-1.036	8.499e-01	0.855	0.544	0.659	8.209e-01
E2F2	0.046	4.815e-01	-0.566	0.555	0.663	8.270e-01
ZNF488	-0.373	6.456e-01	0.241	0.544	0.663	8.281e-01
EMX1	0.184	4.270e-01	-1.411	0.567	0.664	8.298e-01
DNMT3A	0.028	4.889e-01	-1.210	0.568	0.665	8.309e-01
RXRA	-0.626	7.345e-01	-0.660	0.574	0.666	8.325e-01
MBD4	-0.102	5.408e-01	-0.269	0.549	0.666	8.330e-01
ASH2L	-0.439	6.696e-01	0.281	0.542	0.667	8.341e-01
ARRB1	-0.471	6.810e-01	0.320	0.542	0.668	8.347e-01
ARID1A	-1.578	9.427e-01	0.330	0.560	0.668	8.357e-01
ERF	-1.000	8.413e-01	0.573	0.549	0.669	8.363e-01
MAFF	-1.031	8.488e-01	1.013	0.534	0.669	8.363e-01
MYOD1	-0.673	7.497e-01	0.550	0.544	0.669	8.368e-01
MECP2	0.259	3.978e-01	-3.800	0.573	0.670	8.379e-01
ZNF483	0.283	3.885e-01	-1.579	0.563	0.670	8.389e-01
NCAPG2	-0.642	7.396e-01	0.808	0.530	0.670	8.389e-01
CHD4	0.236	4.065e-01	-1.165	0.560	0.671	8.394e-01
MEF2A	-0.464	6.788e-01	-0.726	0.570	0.672	8.410e-01
TLX1	-0.284	6.118e-01	0.057	0.542	0.672	8.410e-01
ZNF641	0.204	4.191e-01	-1.386	0.563	0.672	8.415e-01
SOX11	-1.486	9.313e-01	1.491	0.524	0.672	8.415e-01
TERF1	-0.115	5.456e-01	-0.286	0.549	0.672	8.415e-01
ZNF350	0.187	4.258e-01	-1.096	0.560	0.674	8.441e-01
PRMT5	-0.104	5.415e-01	-0.335	0.549	0.676	8.467e-01
CBX6	0.026	4.897e-01	-1.167	0.566	0.676	8.467e-01
H3F3B	-0.570	7.157e-01	0.629	0.532	0.676	8.467e-01
GATA4	-5.287	1.000e+00	-0.561	0.586	0.677	8.477e-01
SOX4	-0.508	6.942e-01	0.086	0.547	0.677	8.482e-01
PRKDC	-0.433	6.675e-01	-0.551	0.563	0.677	8.487e-01
OVOL3	0.208	4.176e-01	-1.877	0.565	0.678	8.497e-01
FOXA2	-6.739	1.000e+00	-1.117	0.600	0.678	8.502e-01
EED	-0.910	8.187e-01	0.379	0.549	0.678	8.502e-01
MLLT3	0.073	4.708e-01	-0.767	0.556	0.679	8.507e-01
GATA6	-4.618	1.000e+00	-0.023	0.569	0.680	8.527e-01
HIC1	0.155	4.383e-01	-0.968	0.559	0.680	8.527e-01
ZNF382	-1.328	9.079e-01	0.579	0.548	0.680	8.532e-01
JUND	-2.371	9.911e-01	-0.933	0.593	0.681	8.542e-01
ZNF574	0.381	3.516e-01	-3.843	0.567	0.682	8.552e-01
ZNF501	0.326	3.721e-01	-2.602	0.565	0.682	8.557e-01
ZKSCAN5	0.207	4.180e-01	-1.468	0.561	0.684	8.586e-01
ZSCAN16	-0.304	6.193e-01	-1.096	0.569	0.685	8.591e-01
ZNF273	0.158	4.372e-01	-1.163	0.559	0.685	8.596e-01
INSM2	0.242	4.044e-01	-1.990	0.564	0.686	8.600e-01
ZNF182	-0.521	6.987e-01	0.360	0.534	0.686	8.600e-01
ZBTB42	-0.150	5.595e-01	-0.320	0.548	0.686	8.605e-01
CHD7	-1.216	8.880e-01	-1.640	0.593	0.687	8.620e-01
FUS	-0.239	5.944e-01	-0.441	0.553	0.689	8.648e-01
ZNF414	0.305	3.803e-01	-2.750	0.565	0.690	8.657e-01
CEBPG	-1.444	9.257e-01	0.814	0.536	0.691	8.671e-01
ZNF217	-0.692	7.555e-01	0.631	0.528	0.692	8.685e-01
ZIM3	-1.611	9.464e-01	1.203	0.523	0.693	8.694e-01
HNF1A	-1.657	9.513e-01	0.186	0.556	0.694	8.708e-01
EPAS1	-0.330	6.292e-01	-0.064	0.541	0.695	8.717e-01
L3MBTL4	0.193	4.236e-01	-1.582	0.560	0.695	8.717e-01
NEUROD1	-2.067	9.806e-01	-0.371	0.571	0.696	8.731e-01
RUNX3	-0.333	6.303e-01	-0.071	0.541	0.696	8.740e-01
XCL1	0.174	4.309e-01	-1.474	0.560	0.696	8.740e-01
ETV6	-0.666	7.474e-01	0.027	0.548	0.697	8.749e-01
ZXDC	-0.359	6.403e-01	-0.059	0.540	0.698	8.762e-01
AGO1	-0.320	6.254e-01	-0.628	0.558	0.699	8.771e-01
SND1	-0.590	7.223e-01	-0.141	0.550	0.699	8.771e-01
ZNF335	0.110	4.561e-01	-1.443	0.561	0.699	8.775e-01
ZNF605	-0.546	7.074e-01	0.199	0.533	0.699	8.775e-01
GATA3	-9.020	1.000e+00	-0.033	0.567	0.700	8.784e-01
FXR2	-0.307	6.205e-01	-0.191	0.542	0.700	8.788e-01
ZNF554	-0.195	5.771e-01	-0.362	0.546	0.701	8.797e-01
HHEX	-0.802	7.888e-01	0.432	0.533	0.703	8.823e-01
SCRT2	-0.474	6.821e-01	-0.050	0.541	0.703	8.827e-01
ZNF2	-0.225	5.890e-01	-0.584	0.552	0.705	8.844e-01
FOXP2	-0.078	5.312e-01	-2.316	0.569	0.706	8.861e-01
SPIB	-1.639	9.494e-01	0.335	0.549	0.707	8.865e-01
BRD7	0.043	4.829e-01	-1.070	0.555	0.707	8.873e-01
HIF1A	-0.588	7.218e-01	-1.103	0.570	0.707	8.873e-01
SETX	0.233	4.080e-01	-2.955	0.562	0.710	8.906e-01
CHD5	-0.661	7.457e-01	0.301	0.529	0.712	8.922e-01
ZSCAN2	-0.308	6.208e-01	-0.321	0.542	0.714	8.942e-01
C17orf49	0.153	4.393e-01	-2.987	0.564	0.715	8.954e-01
CBX5	-0.755	7.749e-01	-0.354	0.555	0.715	8.954e-01
ZXDB	0.238	4.060e-01	-2.738	0.560	0.715	8.958e-01
BRD9	-0.403	6.564e-01	-0.614	0.555	0.715	8.962e-01
MRE11A	-0.116	5.460e-01	-0.954	0.556	0.715	8.962e-01
AHR	-1.597	9.449e-01	0.601	0.535	0.717	8.978e-01
TERF2	-0.122	5.487e-01	-0.668	0.548	0.718	8.990e-01
NKX2-1	-1.849	9.678e-01	-0.031	0.556	0.719	8.997e-01
MECOM	-0.362	6.413e-01	-0.300	0.540	0.719	9.005e-01
ARID3A	-0.966	8.329e-01	0.117	0.540	0.720	9.013e-01
SOX2	-5.820	1.000e+00	-0.833	0.581	0.721	9.024e-01
TBX21	-0.677	7.507e-01	-0.293	0.549	0.721	9.024e-01
GRIP1	-0.866	8.069e-01	0.052	0.540	0.724	9.050e-01
EHF	-0.299	6.174e-01	-1.376	0.563	0.725	9.061e-01
ZNF692	0.107	4.574e-01	-1.994	0.558	0.725	9.068e-01
ZNF44	-0.104	5.413e-01	-0.846	0.549	0.726	9.072e-01
STAT3	-1.477	9.302e-01	-1.370	0.578	0.728	9.097e-01
TAT	-0.296	6.165e-01	-0.511	0.542	0.729	9.108e-01
POU3F2	0.029	4.885e-01	-1.660	0.555	0.734	9.150e-01
